,categories,title,rating,price,review_count,name,city,state
1,Mexican,Mexican,4.5,$$,865,La Contenta,New York,NY
2,American (New),American (New),4.0,$$,495,The Cabin NYC,New York,NY
4,Shanghainese,Shanghainese,4.0,$$,6937,Joe's Shanghai,New York,NY
7,Dim Sum,Dim Sum,4.0,$$,206,3 Times,New York,NY
8,Thai,Thai,4.5,$$$,545,Wayla,New York,NY
9,Southern,Southern,4.0,$$,1849,Sweet Chick,New York,NY
10,Bars,Bars,4.0,$$,346,Excuse My French,New York,NY
11,Korean,Korean,5.0,$$,13,Sobak,New York,NY
12,Ramen,Ramen,4.5,$$,73,Okiboru House of Tsukemen,New York,NY
13,Japanese,Japanese,4.0,$$,305,Davelle,New York,NY
15,Filipino,Filipino,4.0,$$$,1815,Pig and Khao,New York,NY
17,Vietnamese,Vietnamese,4.0,$$,529,Ginger and Lemongrass,New York,NY
18,Malaysian,Malaysian,4.0,$$,894,Kopitiam,New York,NY
19,Mexican,Mexican,4.0,$$,1170,Barrio Chino,New York,NY
20,Chinese,Chinese,4.5,$,1110,Shu Jiao Fu Zhou,New York,NY
21,French,French,4.5,$$,321,Les Enfants de Boheme,New York,NY
23,Japanese,Japanese,4.5,$$,679,Benemon,New York,NY
24,Mediterranean,Mediterranean,4.5,$,221,Lava Shawarma,New York,NY
25,Greek,Greek,4.0,$$,764,Kiki's,New York,NY
27,Italian,Italian,4.0,$$,1442,Supper,New York,NY
28,Ramen,Ramen,4.0,$$,400,Nakamura,New York,NY
29,Cafes,Cafes,4.5,$$,337,Good Thanks Cafe,New York,NY
30,Bakeries,Bakeries,4.0,$$,5599,Clinton Street Baking Company,New York,NY
31,Bars,Bars,4.5,$$,176,Izakaya Juraku,New York,NY
32,Italian,Italian,4.5,$$,280,Trapizzino,New York,NY
34,American (New),American (New),4.0,$$$,3755,Beauty & Essex,New York City,NY
37,Chinese,Chinese,4.0,$,597,Kong Sihk Tong 港食堂,New York,NY
40,Indian,Indian,4.0,$$$,302,Dhamaka,New York,NY
41,Fast Food,Fast Food,4.5,$,1882,Wah Fung No 1,New York,NY
42,Sandwiches,Sandwiches,4.5,$,1330,Cheeky Sandwiches,New York,NY
44,Desserts,Desserts,5.0,$,357,Joey Bats Café,New York,NY
45,Tapas/Small Plates,Tapas/Small Plates,4.0,$$,1485,Verlaine,New York,NY
46,Cafes,Cafes,4.0,$$,933,Dudley's,New York,NY
48,Malaysian,Malaysian,4.0,$$,2284,Nyonya,New York,NY
50,Tapas/Small Plates,Tapas/Small Plates,4.0,$$,634,Ella Social,New York,NY
51,American (New),American (New),4.0,$$,1975,The Smith,New York,NY
52,American (New),American (New),4.0,$$,300,Harvest Kitchen,New York,NY
53,Moroccan,Moroccan,4.0,$$,653,Shalel Lounge,New York,NY
56,Thai,Thai,4.5,$$,664,Sala Thai Restaurant,New York,NY
57,Italian,Italian,3.5,$$,673,Parm - New York,New York,NY
58,American (New),American (New),4.0,$$$,586,Cafe Luxembourg,New York,NY
59,Noodles,Noodles,5.0,$$,51,Simply Noodles,New York,NY
60,Japanese,Japanese,4.0,$$,1943,Sushi Yasaka,New York,NY
61,Mexican,Mexican,4.0,$$,131,Covacha,New York,NY
62,Ramen,Ramen,4.0,$$,459,Zurutto Ramen & Gyoza Bar,New York,NY
63,Korean,Korean,4.5,$$,458,The Jin,New York,NY
64,Mediterranean,Mediterranean,4.0,$$$,774,Boulud Sud,New York,NY
65,Tapas Bars,Tapas Bars,4.5,$$,135,Dark Bullet Sake & Oyster Bar,New York,NY
66,Italian,Italian,4.0,$$,225,Polpette 71,New York,NY
69,Breakfast & Brunch,Breakfast & Brunch,4.0,$$,245,Friedman's,New York,NY
70,Japanese,Japanese,4.0,$$,150,Amber,New York,NY
71,Vegan,Vegan,4.0,$$,51,Le Botaniste,New York,NY
72,American (New),American (New),4.0,$$,468,Momofuku Noodle Bar - Uptown,New York,NY
73,American (New),American (New),3.5,$$$,1794,Tavern on the Green,New York,NY
74,Bakeries,Bakeries,4.0,$,121,Boule & Cherie,New York,NY
75,Soul Food,Soul Food,4.0,$$,119,Charles’s Pan Fried Chicken,New York,NY
77,Vietnamese,Vietnamese,4.0,$$,230,Pho Shop,New York,NY
78,Mexican,Mexican,3.5,$$,585,El Mitote,New York,NY
80,Diners,Diners,3.5,$$,164,Old John's Diner,New York,NY
81,Thai,Thai,4.0,$$,337,Thai72,New York,NY
82,American (New),American (New),4.0,$$,29,Community Food & Juice,New York,NY
84,American (New),American (New),4.0,$$$,436,Tessa,New York,NY
86,Italian,Italian,3.5,$$,321,Il Violino,New York,NY
91,Cafes,Cafes,3.0,$$,38,Maman,New York,NY
92,American (New),American (New),4.0,$$,140,Lilly's Cocktail and Wine,New York,NY
94,Italian,Italian,4.0,$$,371,Pomodoro Rosso,New York,NY
95,Mediterranean,Mediterranean,3.5,$$,216,North Miznon,New York,NY
96,Japanese,Japanese,4.0,$$,387,Raku - It's Japanese II,New York,NY
98,Kosher,Kosher,4.0,$$,48,Noidue Carne,New York,NY
99,Greek,Greek,4.0,$$,592,The Greek Kitchen,New York,NY
100,Noodles,Noodles,4.5,$$,273,The Tang - Upper West Side,New York,NY
101,Italian,Italian,4.5,$$,190,Osteria 106,New York,NY
102,American (Traditional),American (Traditional),4.5,$$,73,The Ellington,New York,NY
103,Ramen,Ramen,4.0,$$,11,Kyuramen - Columbia University,New York,NY
105,Italian,Italian,4.5,$$,328,Arco Cafe,New York,NY
106,Vietnamese,Vietnamese,4.5,$$,171,Banh,New York,NY
107,Comfort Food,Comfort Food,4.0,$$,5050,Jacob's Pickles,New York,NY
108,Cocktail Bars,Cocktail Bars,4.5,$$,199,Nobody Told Me,New York,NY
109,Bars,Bars,4.5,$$,201,The Calaveras,New York,NY
111,Vietnamese,Vietnamese,4.5,$$,691,Saiguette,New York,NY
112,Mediterranean,Mediterranean,4.0,$$,334,Marlow Bistro,New York,NY
113,Thai,Thai,4.0,$$,1083,Thai Market,New York,NY
114,Vietnamese,Vietnamese,4.5,$$,64,Plum Vietnamese Restaurant,New York,NY
115,Szechuan,Szechuan,4.0,$$,358,Szechuan Garden,New York,NY
116,Indian,Indian,4.5,$$,92,Anar,New York,NY
117,Bars,Bars,4.5,$$$,169,Dagon,New York,NY
118,Burgers,Burgers,4.5,$$,70,Dive 106,New York,NY
119,Italian,Italian,4.0,$$,311,Tartina,New York,NY
120,Chinese,Chinese,4.0,$$,170,Atlas Kitchen,New York,NY
121,Italian,Italian,4.0,$$,193,Fumo,New York,NY
124,Thai,Thai,4.0,$$,142,Living Thai,New York,NY
125,Malaysian,Malaysian,4.0,$$,331,Malaysia Grill,New York,NY
128,Wine Bars,Wine Bars,4.5,$$,115,Ortomare Ristorante Pizzeria,New York,NY
129,Izakaya,Izakaya,4.0,$$,159,Moonrise Izakaya,New York,NY
131,Caribbean,Caribbean,4.0,$$,617,Freda's Caribbean & Soul Cuisine,New York,NY
132,Chinese,Chinese,4.0,$$,628,Flor de Mayo,New York,NY
133,American (Traditional),American (Traditional),4.0,$$,243,Lion's Head Tavern,New York,NY
134,Mexican,Mexican,4.5,$,69,Panchos,New York,NY
135,Ethiopian,Ethiopian,4.0,$$,521,Awash Ethiopian Restaurant,New York,NY
136,Ramen,Ramen,4.0,$$,302,Naruto Ramen,New York,NY
137,Mexican,Mexican,4.0,$$,220,Casa Mexicana,New York,NY
138,American (New),American (New),4.0,$$$,1138,HAVEN Riverfront Restaurant and Bar,Edgewater,NJ
139,Mediterranean,Mediterranean,4.0,$$$,123,Taverna Veranda,Edgewater,NJ
140,Korean,Korean,3.5,$$,185,Mokja,New York,NY
141,French,French,3.5,$$,537,Cafe Du Soleil,New York,NY
142,Pizza,Pizza,3.5,$$,580,MAMA'S TOO!,New York,NY
144,Mediterranean,Mediterranean,4.5,$$,434,Lokal 83 Mediterranean Kitchen,New York,NY
145,Korean,Korean,3.5,$$,393,Koko Wings - New York,New York,NY
146,American (Traditional),American (Traditional),4.0,$$,269,Amity Hall Uptown,New York,NY
147,Food Stands,Food Stands,4.5,$,61,Karls Balls,New York,NY
149,Bakeries,Bakeries,4.0,$$,788,Hungarian Pastry Shop,New York,NY
150,Peruvian,Peruvian,4.5,$$$,71,Contento,New York City,NY
153,Beer Bar,Beer Bar,4.5,$$,116,Alison,New York,NY
154,Cuban,Cuban,4.0,$$,562,Amor Cubano,New York,NY
155,Latin American,Latin American,4.5,$$,382,Cascalote Latin Bistro,New York,NY
156,Steakhouses,Steakhouses,4.0,$$$,1351,Ricardo Steak House,New York,NY
158,Thai,Thai,4.5,$$,162,Chu Ros Thai,New York,NY
159,Cocktail Bars,Cocktail Bars,4.5,$$,39,Bar Goyana,New York,NY
160,Moroccan,Moroccan,4.5,$$,423,La Shuk,New York,NY
162,Beer Bar,Beer Bar,4.0,$$,228,East Harlem Bottling,New York,NY
163,American (Traditional),American (Traditional),4.0,$$,276,Effy's Kitchen,New York,NY
165,Cafes,Cafes,4.5,$,9,Cafe on Fifth,New York,NY
166,Mexican,Mexican,4.0,$$,140,Lupita's Restaurant,New York,NY
167,Thai,Thai,4.5,$$,147,Bangklyn East Harlem,New York,NY
168,African,African,4.5,$$,125,Teranga Harlem,New York,NY
169,Chicken Wings,Chicken Wings,5.0,$$,6,Mad for Chicken,New York,NY
171,Italian,Italian,4.5,$$$$,204,Rao's,New York,NY
172,Puerto Rican,Puerto Rican,3.5,$$,283,La Fonda Restaurant & Tapas Bar,New York,NY
173,Tapas Bars,Tapas Bars,4.0,$$,208,The Lexington Social,New York,NY
174,Latin American,Latin American,4.0,$$,103,El Nuevo Carribeno,New York,NY
175,Latin American,Latin American,4.5,$$,105,La Avenida,New York,NY
176,Peruvian,Peruvian,4.0,$$,78,Quechua Nostra Peruvian Food,New York,NY
178,Barbeque,Barbeque,4.0,$,45,Au Jus,New York,NY
179,Tapas Bars,Tapas Bars,4.5,$$,334,El Kallejon,New York,NY
180,Caribbean,Caribbean,4.5,$,34,Elma's,New York,NY
182,Mexican,Mexican,4.5,$$,65,Las Panteras Negras,New York,NY
183,Dominican,Dominican,4.0,$,31,El Chevere Cuchifrito,New York,NY
184,Delis,Delis,4.5,$,76,Blue Sky Deli,New York,NY
185,Mexican,Mexican,4.0,$$,454,Ollin Restaurant,New York,NY
186,Mexican,Mexican,3.5,$,446,Taco Mix,New York,NY
187,Soul Food,Soul Food,4.5,$$,133,SpaHa Soul and Bone Broth,New York,NY
189,Wine Bars,Wine Bars,4.5,$$,218,Da Capo,New York,NY
190,Mexican,Mexican,4.0,$,225,El Aguila,New York,NY
192,Italian,Italian,4.0,$$,256,Nocciola Ristorante,New York,NY
193,Dominican,Dominican,4.5,$$,765,Santiago's Beer Garden,New York,NY
194,Indian,Indian,4.0,$$,128,Bawarchi Indian Cuisine,New York,NY
195,Salad,Salad,4.5,$,24,La Amistad Pizzeria & Grill,New York,NY
196,Bars,Bars,4.5,$$,625,Earl's Beer & Cheese,New York,NY
197,Chinese,Chinese,4.5,$,54,Yummy City,New York,NY
199,Mexican,Mexican,4.0,$$,231,La Chula,New York,NY
281,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
282,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
283,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
284,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
285,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
286,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
287,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
288,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
289,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
290,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
291,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
292,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
293,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
294,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
295,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
296,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
297,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
298,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
299,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
300,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
301,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
302,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
303,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
304,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
305,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
306,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
307,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
308,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
309,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
310,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
311,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
312,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
313,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
314,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
315,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
316,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
317,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
318,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
319,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
320,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
321,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
322,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
323,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
324,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
325,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
326,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
327,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
328,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
329,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
330,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
331,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
332,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
333,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
334,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
335,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
336,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
337,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
338,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
339,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
340,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
341,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
342,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
343,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
344,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
345,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
346,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
347,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
348,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
349,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
350,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
351,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
352,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
353,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
354,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
355,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
356,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
357,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
358,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
359,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
360,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
361,Vietnamese,Vietnamese,5.0,$$,17,Pho plus,Staten Island,NY
443,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
444,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
445,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
446,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
447,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
448,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
449,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
450,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
451,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
452,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
453,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
454,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
455,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
456,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
457,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
458,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
459,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
460,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
461,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
462,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
463,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
464,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
465,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
466,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
467,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
468,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
469,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
470,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
471,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
472,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
473,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
474,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
475,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
476,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
477,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
478,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
479,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
480,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
481,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
482,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
483,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
484,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
485,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
486,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
487,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
488,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
489,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
490,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
491,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
492,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
493,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
494,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
495,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
496,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
497,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
498,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
499,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
500,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
501,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
502,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
503,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
504,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
505,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
506,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
507,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
508,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
509,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
510,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
511,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
512,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
513,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
514,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
515,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
516,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
517,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
518,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
519,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
520,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
521,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
522,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
523,Breakfast & Brunch,Breakfast & Brunch,4.5,$$,162,The KOVA,Staten Island,NY
524,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
525,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
526,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
527,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
528,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
529,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
530,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
531,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
532,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
533,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
534,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
535,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
536,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
537,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
538,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
539,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
540,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
541,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
542,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
543,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
544,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
545,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
546,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
547,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
548,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
549,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
550,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
551,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
552,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
553,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
554,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
555,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
556,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
557,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
558,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
559,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
560,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
561,Italian,Italian,4.0,$$$,52,Fig & Vine,New York,NY
